caso_id,mensaje_original,mensaje_normalizado,intencion_esperada,coincidencia_exacta,evidencia_detectada,entidades_detectadas,extraccion_sintactica,error
caso_011,¿Hay algo con camarón que no sea tan caro?,¿hay algo con camarón que no sea tan caro?,recomendacion.solicitar_recomendacion,False,[],"[{""entity_type"": ""ALERGENO"", ""entity_id"": ""crustaceos"", ""canonical"": ""Crustáceos"", ""text"": ""camarón"", ""normalized_text"": ""camarón"", ""start_char"": 14, ""end_char"": 21, ""start_token"": 4, ""end_token"": 5, ""priority"": 90, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": [{""entity_type"": ""ALERGENO"", ""entity_id"": ""crustaceos"", ""canonical"": ""Crustáceos"", ""text"": ""camarón""}]}",
caso_012,Quiero una mojarra,quiero una mojarra,pedido.iniciar_pedido,True,"[{""rule_id"": ""ORDER_WANT_PRODUCT"", ""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""weight"": 0.58, ""text"": ""quiero una mojarra"", ""start_token"": 0, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""mojarra"", ""canonical"": ""mojarra"", ""text"": ""mojarra"", ""normalized_text"": ""mojarra"", ""start_char"": 11, ""end_char"": 18, ""start_token"": 2, ""end_token"": 3, ""priority"": 80, ""source"": ""PhraseMatcher""}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""mojarra"", ""canonical"": ""mojarra"", ""text"": ""mojarra""}]}",
caso_013,Una frita,una frita,pedido.seleccionar_preparacion,False,[],"[{""entity_type"": ""PREPARACION"", ""entity_id"": ""frito"", ""canonical"": ""frito"", ""text"": ""frita"", ""normalized_text"": ""frita"", ""start_char"": 4, ""end_char"": 9, ""start_token"": 1, ""end_token"": 2, ""priority"": 75, ""source"": ""PhraseMatcher""}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PREPARACION"", ""entity_id"": ""frito"", ""canonical"": ""frito"", ""text"": ""frita""}]}",
caso_014,¿El arroz con camarón viene con bebida?,¿el arroz con camarón viene con bebida?,catalogo.consultar_detalle_producto,False,[],"[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""arroz_con_camaron"", ""canonical"": ""Arroz con Camarón"", ""text"": ""arroz con camarón"", ""normalized_text"": ""arroz con camarón"", ""start_char"": 4, ""end_char"": 21, ""start_token"": 2, ""end_token"": 5, ""priority"": 100, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""arroz_con_camaron"", ""canonical"": ""Arroz con Camarón"", ""text"": ""arroz con camarón""}]}",
caso_015,¿Atienden hoy?,¿atienden hoy?,horario_ubicacion.consultar_horario,True,"[{""rule_id"": ""SCHEDULE_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_horario"", ""weight"": 0.52, ""text"": ""atienden"", ""start_token"": 1, ""end_token"": 2, ""requires_context"": false}, {""rule_id"": ""SCHEDULE_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_horario"", ""weight"": 0.52, ""text"": ""atienden hoy"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy"", ""normalized_text"": ""hoy"", ""start_char"": 10, ""end_char"": 13, ""start_token"": 2, ""end_token"": 3, ""priority"": 50, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy""}]}",
caso_016,¿Hasta dónde llega el domicilio?,¿hasta dónde llega el domicilio?,domicilio.consultar_domicilio,True,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""LOCATION_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_ubicacion"", ""weight"": 0.5, ""text"": ""dónde"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio"", ""normalized_text"": ""domicilio"", ""start_char"": 22, ""end_char"": 31, ""start_token"": 5, ""end_token"": 6, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio""}]}",
caso_017,¿Se puede pagar cuando llegue?,¿se puede pagar cuando llegue?,pago.consultar_medio_pago,False,[],[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_018,¿Qué plato llena más?,¿qué plato llena más?,recomendacion.solicitar_recomendacion,False,[],[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_019,¿Tienen ceviche pequeño?,¿tienen ceviche pequeño?,catalogo.consultar_producto,False,"[{""rule_id"": ""AVAILABILITY_PRODUCT"", ""intent"": ""catalogo"", ""subintent"": ""consultar_disponibilidad_producto"", ""weight"": 0.52, ""text"": ""tienen ceviche"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""ceviche"", ""canonical"": ""ceviche"", ""text"": ""ceviche"", ""normalized_text"": ""ceviche"", ""start_char"": 8, ""end_char"": 15, ""start_token"": 2, ""end_token"": 3, ""priority"": 80, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""ceviche"", ""canonical"": ""ceviche"", ""text"": ""ceviche""}]}",
caso_020,"Gracias, era eso","gracias, era eso",social.agradecer,True,"[{""rule_id"": ""THANKS"", ""intent"": ""social"", ""subintent"": ""agradecer"", ""weight"": 0.7, ""text"": ""gracias"", ""start_token"": 0, ""end_token"": 1, ""requires_context"": false}]",[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_021,¿Qué menú ejecutivo tienen hoy?,¿qué menú ejecutivo tienen hoy?,catalogo.consultar_categoria,False,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 5, ""end_char"": 9, ""start_token"": 2, ""end_token"": 3, ""priority"": 60, ""source"": ""PhraseMatcher""}, {""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 10, ""end_char"": 19, ""start_token"": 3, ""end_token"": 4, ""priority"": 70, ""source"": ""PhraseMatcher""}, {""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy"", ""normalized_text"": ""hoy"", ""start_char"": 27, ""end_char"": 30, ""start_token"": 5, ""end_token"": 6, ""priority"": 50, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú""}, {""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo""}, {""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy""}]}",
caso_022,Necesito pedir para tres personas.,necesito pedir para tres personas.,pedido.iniciar_pedido_grupal,False,"[{""rule_id"": ""QUANTITY_ONLY"", ""intent"": ""pedido"", ""subintent"": ""indicar_cantidad"", ""weight"": 0.38, ""text"": ""tres"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": true}]",[],"{""quantities"": [3], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_023,¿Cuánto demora el domicilio a Ciudad Montes?,¿cuál es el tiempo de entrega el domicilio a ciudad montes?,domicilio.consultar_domicilio,True,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""entrega"", ""start_token"": 6, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 8, ""end_token"": 9, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""entrega"", ""start_token"": 6, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 8, ""end_token"": 9, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""entrega"", ""normalized_text"": ""entrega"", ""start_char"": 22, ""end_char"": 29, ""start_token"": 6, ""end_token"": 7, ""priority"": 60, ""source"": ""PhraseMatcher""}, {""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio"", ""normalized_text"": ""domicilio"", ""start_char"": 33, ""end_char"": 42, ""start_token"": 8, ""end_token"": 9, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""entrega""}, {""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio""}]}",
caso_024,¿Me envían factura?,¿me envían factura?,operacion.consultar_facturacion,False,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""factura"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""factura"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""factura_electronica"", ""canonical"": ""Factura electrónica"", ""text"": ""factura"", ""normalized_text"": ""factura"", ""start_char"": 11, ""end_char"": 18, ""start_token"": 3, ""end_token"": 4, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""factura_electronica"", ""canonical"": ""Factura electrónica"", ""text"": ""factura""}]}",
caso_025,¿Puedo pagar con tarjeta?,¿puedo pagar con tarjeta?,pago.consultar_medio_pago,False,[],[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_026,Envíame la carta en PDF.,envíame la menú en pdf.,menu.solicitar_menu,True,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 11, ""end_char"": 15, ""start_token"": 2, ""end_token"": 3, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú""}]}",
caso_028,"Sí, reenvíala.","sí, reenvíala.",menu.reenviar_menu,False,[],[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_029,¿Qué trae la cazuela mixta?,¿qué trae la cazuela mixta?,catalogo.consultar_detalle_producto,True,"[{""rule_id"": ""PRODUCT_DETAIL_WHAT_HAS"", ""intent"": ""catalogo"", ""subintent"": ""consultar_detalle_producto"", ""weight"": 0.5, ""text"": ""qué trae"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""cazuela_mixta"", ""canonical"": ""Cazuela Mixta"", ""text"": ""cazuela mixta"", ""normalized_text"": ""cazuela mixta"", ""start_char"": 13, ""end_char"": 26, ""start_token"": 4, ""end_token"": 6, ""priority"": 100, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""cazuela_mixta"", ""canonical"": ""Cazuela Mixta"", ""text"": ""cazuela mixta""}]}",
caso_031,Quiero dos arroces con camarón y una cazuela.,quiero dos arroces con camarón y una cazuela.,pedido.agregar_productos_pedido,False,"[{""rule_id"": ""QUANTITY_ONLY"", ""intent"": ""pedido"", ""subintent"": ""indicar_cantidad"", ""weight"": 0.38, ""text"": ""dos"", ""start_token"": 1, ""end_token"": 2, ""requires_context"": true}]","[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""arroces"", ""canonical"": ""Arroces"", ""text"": ""arroces"", ""normalized_text"": ""arroces"", ""start_char"": 11, ""end_char"": 18, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}, {""entity_type"": ""ALERGENO"", ""entity_id"": ""crustaceos"", ""canonical"": ""Crustáceos"", ""text"": ""camarón"", ""normalized_text"": ""camarón"", ""start_char"": 23, ""end_char"": 30, ""start_token"": 4, ""end_token"": 5, ""priority"": 90, ""source"": ""PhraseMatcher""}, {""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""cazuela"", ""canonical"": ""cazuela"", ""text"": ""cazuela"", ""normalized_text"": ""cazuela"", ""start_char"": 37, ""end_char"": 44, ""start_token"": 7, ""end_token"": 8, ""priority"": 80, ""source"": ""PhraseMatcher""}]","{""quantities"": [2, 1], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""CATEGORIA"", ""entity_id"": ""arroces"", ""canonical"": ""Arroces"", ""text"": ""arroces""}, {""entity_type"": ""ALERGENO"", ""entity_id"": ""crustaceos"", ""canonical"": ""Crustáceos"", ""text"": ""camarón""}, {""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""cazuela"", ""canonical"": ""cazuela"", ""text"": ""cazuela""}]}",
