id,perfil_cliente_id,mensaje,intencion_esperada,entidades_esperadas,accion_esperada,enviar_pdf,ofrecer_pdf,mencionar_envio_previo,requiere_aclaracion,respuesta_esperada_resumen
caso_065,cliente_04_adulta_mayor,¿Ustedes abren el domingo?,consultar_horario,"{""dia"": ""domingo""}",responder_dato_negocio,False,False,False,False,Dar horario.
caso_066,cliente_04_adulta_mayor,¿Me puede mandar la carta?,solicitar_menu,{},enviar_menu_pdf,True,False,False,False,Enviar PDF.
caso_067,cliente_04_adulta_mayor,¿Me puede mandar la carta?,solicitar_menu,{},referenciar_envio_previo_y_ofrecer_reenvio,False,False,True,False,Recordar fecha y hora.
caso_068,cliente_04_adulta_mayor,"Sí, mándemela de nuevo.",reenviar_menu,{},enviar_menu_pdf,True,False,False,False,Reenviar.
caso_069,cliente_04_adulta_mayor,¿Cuánto vale el bagre en salsa?,consultar_precio_producto,"{""producto"": ""bagre_en_salsa""}",responder_producto,False,False,False,False,Dar precio específico.
caso_070,cliente_04_adulta_mayor,¿Qué sopas tienen?,consultar_categoria,"{""categoria"": ""sopas""}",listar_categoria_o_aclarar,False,False,False,True,Listar si existe categoría o aclarar.
caso_071,cliente_04_adulta_mayor,¿La trucha la hacen al vapor?,consultar_preparacion_producto,"{""producto"": ""trucha"", ""preparacion"": ""al_vapor""}",validar_combinacion,False,True,False,False,Confirmar solo si está permitida.
caso_072,cliente_04_adulta_mayor,¿Qué es a la marinera?,consultar_definicion_preparacion,"{""preparacion"": ""a_la_marinera""}",explicar_preparacion,False,False,False,False,Explicar de forma sencilla.
caso_073,cliente_04_adulta_mayor,"¿Cuál es más suave, el bagre o la trucha?",comparar_productos,"{""productos"": [""bagre"", ""trucha""], ""criterio"": ""textura""}",comparar_con_datos,False,True,False,True,Responder solo si hay datos confiables.
caso_074,cliente_04_adulta_mayor,¿Puedo pedir sin ajo?,solicitar_modificacion,"{""producto"": ""trucha"", ""modificacion"": ""sin_ajo""}",validar_modificacion,False,False,False,True,Consultar si cocina permite la modificación.
caso_075,cliente_04_adulta_mayor,¿El domicilio llega hasta el Restrepo?,consultar_domicilio,"{""destino"": ""Restrepo"", ""atributo"": ""cobertura""}",validar_cobertura,False,False,False,True,No asumir cobertura fuera de la zona registrada.
caso_076,cliente_04_adulta_mayor,¿Me reciben efectivo?,consultar_medio_pago,"{""medio_pago"": ""efectivo""}",responder_dato_negocio,False,False,False,False,Confirmar.
caso_077,cliente_04_adulta_mayor,¿Dónde están ubicados?,consultar_ubicacion,{},responder_dato_negocio,False,False,False,False,Dar dirección.
caso_078,cliente_04_adulta_mayor,Quiero reservar para el domingo al mediodía.,solicitar_reserva,"{""dia"": ""domingo"", ""franja"": ""mediodía""}",solicitar_datos_reserva,False,False,False,True,Pedir número de personas y fecha.
caso_079,cliente_04_adulta_mayor,¿Tienen baño para clientes?,consultar_instalacion,"{""instalacion"": ""baño""}",responder_o_escalar,False,False,False,True,No inventar.
caso_080,cliente_04_adulta_mayor,"Muy amable, gracias.",agradecer,{},cerrar_cordialmente,False,False,False,False,Agradecer.
caso_081,cliente_05_habitual,¿Hoy sí tienen mapará?,consultar_disponibilidad_producto,"{""producto"": ""mapara"", ""fecha_relativa"": ""hoy""}",responder_producto,False,True,False,False,Confirmar disponibilidad actual o sujeción a inventario.
caso_082,cliente_05_habitual,Deme el mismo de la vez pasada.,repetir_pedido,"{""referencia"": ""pedido_anterior""}",solicitar_aclaracion_por_falta_historial,False,False,False,True,No asumir historial si no existe.
caso_083,cliente_05_habitual,¿La cazuela especial sigue a treinta?,consultar_precio_producto,"{""producto"": ""cazuela_especial"", ""precio_referenciado"": 30000}",responder_producto,False,True,False,False,Informar precio vigente y corregir con tacto.
caso_084,cliente_05_habitual,¿Me lo manda para la misma dirección?,usar_direccion_previa,"{""referencia"": ""direccion_anterior""}",confirmar_dato_sensible,False,False,False,True,Confirmar dirección exacta antes de usarla.
caso_085,cliente_05_habitual,¿Ya abrieron?,consultar_horario,"{""momento"": ""ahora""}",responder_dato_negocio,False,False,False,False,Responder según fecha y hora.
caso_086,cliente_05_habitual,Pásame el menú actualizado.,solicitar_menu,"{""version"": ""actualizada""}",enviar_menu_pdf,True,False,False,False,Enviar porque hay versión más reciente.
caso_087,cliente_05_habitual,¿Me mandas la carta?,solicitar_menu,{},referenciar_envio_previo_y_ofrecer_reenvio,False,False,True,False,Mencionar envío reciente.
caso_088,cliente_05_habitual,"Sí, otra vez.",reenviar_menu,{},enviar_menu_pdf,True,False,False,False,Reenviar.
caso_089,cliente_05_habitual,¿Cuánto está el pargo rojo?,consultar_precio_producto,"{""producto"": ""pargo_rojo""}",responder_producto,False,False,False,False,Explicar precio según tamaño.
caso_090,cliente_05_habitual,¿Qué tienen de mariscos?,consultar_categoria,"{""categoria"": ""mariscos""}",listar_categoria,False,False,False,False,Listar solo mariscos.
caso_091,cliente_05_habitual,Mándeme dos mojarras fritas.,agregar_productos_pedido,"{""items"": [{""producto"": ""mojarra_frita"", ""cantidad"": 2}]}",registrar_y_solicitar_datos,False,False,False,True,Registrar y pedir dirección/pago.
caso_092,cliente_05_habitual,"La de siempre, pero sin salsa.",solicitar_modificacion,"{""producto"": ""trucha"", ""modificacion"": ""sin_salsa""}",validar_modificacion,False,False,False,True,Usar contexto solo si es inequívoco.
caso_093,cliente_05_habitual,¿Todavía reciben Nequi?,consultar_medio_pago,"{""medio_pago"": ""Nequi""}",responder_dato_negocio,False,False,False,False,Confirmar medio vigente.
caso_094,cliente_05_habitual,¿Cuánto se está demorando el domicilio?,consultar_domicilio,"{""atributo"": ""tiempo_actual""}",responder_o_escalar,False,False,False,True,Diferenciar tiempo estándar de tiempo operativo actual.
caso_095,cliente_05_habitual,¿Hay sancocho de bagre?,consultar_disponibilidad_producto,"{""producto"": ""sancocho_de_bagre""}",responder_producto,False,True,False,False,Confirmar.
caso_096,cliente_05_habitual,¿Me reserva la mesa de siempre?,solicitar_reserva,"{""referencia"": ""mesa_anterior""}",solicitar_datos_reserva,False,False,False,True,"Pedir fecha, hora, personas y aclarar que no se identifica mesa previa."
caso_097,cliente_05_habitual,¿Qué cambió del menú?,consultar_cambios_menu,"{""version_anterior"": ""2026-06-15"", ""version_actual"": ""2026-07-01""}",comparar_versiones,False,True,False,False,Mostrar cambios si existe historial de versiones.
caso_098,cliente_05_habitual,¿La dirección es la misma?,consultar_ubicacion,"{""atributo"": ""vigencia""}",responder_dato_negocio,False,False,False,False,Confirmar dirección vigente.
caso_099,cliente_05_habitual,Anote un arroz con camarón.,agregar_producto_pedido,"{""producto"": ""arroz_con_camaron"", ""cantidad"": 1}",registrar_y_solicitar_datos,False,False,False,True,Agregar al pedido.
caso_100,cliente_05_habitual,"Bueno, gracias.",agradecer,{},cerrar_cordialmente,False,False,False,False,Agradecer.
caso_101,cliente_06_profesional,¿Cuál es el pescado más fresco que tienen?,solicitar_recomendacion,"{""criterio"": ""frescura""}",responder_o_escalar,False,True,False,True,No afirmar frescura relativa sin dato operativo.
caso_102,cliente_06_profesional,¿Qué plato especial recomienda?,solicitar_recomendacion,"{""categoria"": ""especiales""}",recomendar_productos,False,True,False,False,Mostrar especialidades registradas.
caso_103,cliente_06_profesional,¿Tienen langostinos?,consultar_producto,"{""producto"": ""langostinos""}",responder_producto,False,True,False,False,Mostrar presentaciones disponibles.
caso_104,cliente_06_profesional,Quiero reservar para seis personas.,solicitar_reserva,"{""numero_personas"": 6}",solicitar_datos_reserva,False,False,False,True,"Pedir fecha, hora y nombre."
caso_105,cliente_06_profesional,¿Pueden organizar un almuerzo empresarial?,consultar_eventos,"{""tipo_evento"": ""almuerzo_empresarial""}",responder_y_solicitar_datos,False,True,False,True,Confirmar servicio para eventos y pedir detalles.
caso_106,cliente_06_profesional,Compárteme el menú completo.,solicitar_menu,{},enviar_menu_pdf,True,False,False,False,Enviar PDF.
caso_107,cliente_06_profesional,Compárteme el menú completo.,solicitar_menu,{},referenciar_envio_previo_y_ofrecer_reenvio,False,False,True,False,Indicar fecha y hora.
caso_108,cliente_06_profesional,"Reenvíamelo, por favor.",reenviar_menu,{},enviar_menu_pdf,True,False,False,False,Reenviar.
caso_109,cliente_06_profesional,¿Cuál es el precio de los langostinos al ajillo?,consultar_precio_producto,"{""producto"": ""langostinos_al_ajillo""}",responder_producto,False,False,False,False,Dar precio puntual.
caso_110,cliente_06_profesional,¿Qué opciones premium tienen?,consultar_categoria,"{""categoria"": ""premium""}",listar_categoria_por_criterio,False,False,False,True,Definir criterio o listar productos de mayor precio.
caso_111,cliente_06_profesional,¿La cazuela central qué ingredientes contiene?,consultar_detalle_producto,"{""producto"": ""cazuela_central"", ""atributo"": ""ingredientes""}",responder_producto,False,True,False,False,Dar ingredientes registrados.
caso_112,cliente_06_profesional,¿Qué vino recomiendan con el salmón?,solicitar_recomendacion,"{""producto"": ""salmon"", ""criterio"": ""maridaje""}",responder_fuera_de_alcance,False,False,False,True,No inventar oferta de vinos.
caso_113,cliente_06_profesional,¿Puedo reservar un espacio privado?,consultar_reserva,"{""atributo"": ""espacio_privado""}",responder_o_escalar,False,False,False,True,No asumir disponibilidad.
caso_114,cliente_06_profesional,¿Cuál es la capacidad máxima para eventos?,consultar_eventos,"{""atributo"": ""capacidad""}",responder_dato_negocio,False,False,False,False,Informar capacidad para 50 personas.
caso_115,cliente_06_profesional,¿Aceptan tarjeta de crédito?,consultar_medio_pago,"{""medio_pago"": ""tarjeta_credito""}",responder_dato_negocio,False,False,False,False,Confirmar.
caso_116,cliente_06_profesional,¿El parqueadero tiene costo?,consultar_parqueadero,"{""atributo"": ""costo""}",responder_dato_negocio,False,False,False,False,Informar gratuidad para clientes.
caso_117,cliente_06_profesional,¿Pueden adaptar un plato sin camarón?,solicitar_modificacion,"{""modificacion"": ""sin_camarón""}",validar_modificacion,False,True,False,True,Pedir producto y validar cocina.
caso_118,cliente_06_profesional,Necesito propuesta para veinte personas.,solicitar_evento,"{""numero_personas"": 20}",solicitar_datos_evento,False,True,False,True,"Pedir fecha, presupuesto y formato."
caso_119,cliente_06_profesional,¿Manejan factura electrónica?,consultar_facturacion,"{""tipo"": ""electronica""}",responder_o_escalar,False,False,False,True,No inventar.
caso_120,cliente_06_profesional,Gracias por la precisión.,agradecer,{},cerrar_cordialmente,False,False,False,False,Agradecer.
caso_121,cliente_07_baja_alfabetizacion_digital,cuanto balen la mojarra,consultar_precio_producto,"{""producto"": ""mojarra""}",responder_producto,False,True,False,False,Normalizar 'balen' a 'valen'.
caso_122,cliente_07_baja_alfabetizacion_digital,tiene domisilio,consultar_domicilio,{},responder_dato_negocio,False,False,False,False,Normalizar 'domisilio'.
caso_123,cliente_07_baja_alfabetizacion_digital,donde quedan,consultar_ubicacion,{},responder_dato_negocio,False,False,False,False,Dar dirección.
caso_124,cliente_07_baja_alfabetizacion_digital,pago nequi,consultar_medio_pago,"{""medio_pago"": ""Nequi""}",responder_dato_negocio,False,False,False,False,Confirmar Nequi.
caso_125,cliente_07_baja_alfabetizacion_digital,quiero pesacado frito,iniciar_pedido,"{""categoria"": ""pescado"", ""preparacion"": ""frito""}",solicitar_datos_faltantes,False,True,False,True,Preguntar qué pescado.
caso_126,cliente_07_baja_alfabetizacion_digital,mande menu,solicitar_menu,{},enviar_menu_pdf,True,False,False,False,Enviar PDF.
caso_127,cliente_07_baja_alfabetizacion_digital,mande menu,solicitar_menu,{},referenciar_envio_previo_y_ofrecer_reenvio,False,False,True,False,Indicar envío previo.
caso_128,cliente_07_baja_alfabetizacion_digital,mandelo otra bes,reenviar_menu,{},enviar_menu_pdf,True,False,False,False,Normalizar y reenviar.
caso_129,cliente_07_baja_alfabetizacion_digital,bagre cuanto,consultar_precio_producto,"{""producto"": ""bagre""}",responder_producto_o_aclarar,False,False,False,True,Aclarar presentación porque hay varios precios.
caso_130,cliente_07_baja_alfabetizacion_digital,que arroces ay,consultar_categoria,"{""categoria"": ""arroces""}",listar_categoria,False,False,False,False,Listar arroces.
caso_131,cliente_07_baja_alfabetizacion_digital,tiene camaron,consultar_producto,"{""producto"": ""camarón""}",responder_producto,False,True,False,False,Mostrar platos con camarón.
caso_132,cliente_07_baja_alfabetizacion_digital,uno de esos,agregar_producto_pedido,"{""producto"": ""trucha"", ""cantidad"": 1}",confirmar_referencia,False,False,False,True,Confirmar preparación antes de agregar.
caso_133,cliente_07_baja_alfabetizacion_digital,lo quiero en salsa,seleccionar_preparacion,"{""producto"": ""trucha"", ""preparacion"": ""en_salsa""}",validar_combinacion,False,False,False,False,Usar contexto.
caso_134,cliente_07_baja_alfabetizacion_digital,abre domingo,consultar_horario,"{""dia"": ""domingo""}",responder_dato_negocio,False,False,False,False,Dar horario.
caso_135,cliente_07_baja_alfabetizacion_digital,domicilio cuanto demora,consultar_domicilio,"{""atributo"": ""tiempo""}",responder_dato_negocio,False,False,False,False,Dar tiempo estimado.
caso_136,cliente_07_baja_alfabetizacion_digital,reserba mesa,solicitar_reserva,{},solicitar_datos_reserva,False,False,False,True,Normalizar y pedir datos.
caso_137,cliente_07_baja_alfabetizacion_digital,tarjeta si,consultar_medio_pago,"{""medio_pago"": ""tarjeta""}",responder_dato_negocio,False,False,False,False,Confirmar.
caso_138,cliente_07_baja_alfabetizacion_digital,parquiadero,consultar_parqueadero,{},responder_dato_negocio,False,False,False,False,Normalizar y responder.
caso_139,cliente_07_baja_alfabetizacion_digital,quiero dos mojaras,agregar_producto_pedido,"{""producto"": ""mojarra"", ""cantidad"": 2}",solicitar_datos_faltantes,False,False,False,True,Preguntar preparación/presentación.
caso_140,cliente_07_baja_alfabetizacion_digital,grasias,agradecer,{},cerrar_cordialmente,False,False,False,False,Normalizar y agradecer.
caso_141,cliente_08_adolescente,menú,solicitar_menu,{},enviar_menu_pdf,True,False,False,False,Enviar PDF.
caso_142,cliente_08_adolescente,menú,solicitar_menu,{},referenciar_envio_previo_y_ofrecer_reenvio,False,False,True,False,Mencionar envío previo.
caso_143,cliente_08_adolescente,otra vez,reenviar_menu,{},enviar_menu_pdf,True,False,False,False,Reenviar según contexto.
caso_144,cliente_08_adolescente,precios,consultar_precios_generales,{},hacer_pregunta_aclaracion,False,True,False,True,Preguntar categoría o producto.
caso_145,cliente_08_adolescente,qué hay,consultar_menu_general,{},resumir_menu_y_ofrecer_pdf,False,True,False,False,Dar resumen breve y ofrecer PDF.
caso_146,cliente_08_adolescente,el de camarón,consultar_producto,"{""ingrediente"": ""camarón""}",hacer_pregunta_aclaracion,False,True,False,True,La referencia no es suficiente; listar opciones con camarón.
caso_147,cliente_08_adolescente,uno frito,seleccionar_preparacion,"{""producto"": ""trucha"", ""cantidad"": 1, ""preparacion"": ""frito""}",validar_combinacion,False,False,False,True,Validar preparación.
caso_148,cliente_08_adolescente,domi?,consultar_domicilio,{},resumir_servicio,False,False,False,False,"Dar cobertura, mínimo, costo y tiempo."
caso_149,cliente_08_adolescente,nequi?,consultar_medio_pago,"{""medio_pago"": ""Nequi""}",responder_dato_negocio,False,False,False,False,Confirmar.
caso_150,cliente_08_adolescente,mojarra?,consultar_producto,"{""producto"": ""mojarra""}",responder_producto_o_aclarar,False,True,False,True,Mostrar presentaciones y preguntar cuál.
caso_151,cliente_08_adolescente,cuánto,consultar_precio_producto,"{""producto"": ""trucha""}",responder_producto_o_aclarar,False,False,False,True,Usar contexto y aclarar preparación si cambia precio.
