caso_id,mensaje,subintencion_esperada,mensaje_normalizado,evidencias_matcher,evidencias_lemas,lemas,lemas_apoyan_subintencion,error
caso_011,¿Hay algo con camarón que no sea tan caro?,solicitar_recomendacion,¿hay algo con camarón que no sea tan caro?,[],"[{""lemma"": ""haber"", ""matched_text"": ""hay"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 1, ""source"": ""catalog_fallback""}]","[{""text"": ""hay"", ""lemma"": ""haber"", ""source"": ""catalog_fallback""}, {""text"": ""algo"", ""lemma"": ""algo"", ""source"": ""spacy""}, {""text"": ""con"", ""lemma"": ""con"", ""source"": ""spacy""}, {""text"": ""camarón"", ""lemma"": ""camarón"", ""source"": ""spacy""}, {""text"": ""que"", ""lemma"": ""que"", ""source"": ""spacy""}, {""text"": ""no"", ""lemma"": ""no"", ""source"": ""spacy""}, {""text"": ""sea"", ""lemma"": ""ser"", ""source"": ""spacy""}, {""text"": ""tan"", ""lemma"": ""tanto"", ""source"": ""spacy""}, {""text"": ""caro"", ""lemma"": ""caro"", ""source"": ""spacy""}]",False,
caso_012,Quiero una mojarra,iniciar_pedido,quiero una mojarra,"[{""rule_id"": ""ORDER_WANT_PRODUCT"", ""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""weight"": 0.58, ""text"": ""quiero una mojarra"", ""start_token"": 0, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""querer"", ""matched_text"": ""quiero"", ""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""weight"": 0.12, ""token_index"": 0, ""source"": ""catalog_fallback""}]","[{""text"": ""quiero"", ""lemma"": ""querer"", ""source"": ""catalog_fallback""}, {""text"": ""una"", ""lemma"": ""uno"", ""source"": ""spacy""}, {""text"": ""mojarra"", ""lemma"": ""mojarra"", ""source"": ""spacy""}]",True,
caso_013,Una frita,seleccionar_preparacion,una frita,[],[],"[{""text"": ""una"", ""lemma"": ""uno"", ""source"": ""spacy""}, {""text"": ""frita"", ""lemma"": ""frita"", ""source"": ""spacy""}]",False,
caso_014,¿El arroz con camarón viene con bebida?,consultar_detalle_producto,¿el arroz con camarón viene con bebida?,[],[],"[{""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""arroz"", ""lemma"": ""arroz"", ""source"": ""spacy""}, {""text"": ""con"", ""lemma"": ""con"", ""source"": ""spacy""}, {""text"": ""camarón"", ""lemma"": ""camarón"", ""source"": ""spacy""}, {""text"": ""viene"", ""lemma"": ""venir"", ""source"": ""spacy""}, {""text"": ""con"", ""lemma"": ""con"", ""source"": ""spacy""}, {""text"": ""bebida"", ""lemma"": ""bebida"", ""source"": ""spacy""}]",False,
caso_015,¿Atienden hoy?,consultar_horario,¿atienden hoy?,"[{""rule_id"": ""SCHEDULE_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_horario"", ""weight"": 0.52, ""text"": ""atienden"", ""start_token"": 1, ""end_token"": 2, ""requires_context"": false}, {""rule_id"": ""SCHEDULE_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_horario"", ""weight"": 0.52, ""text"": ""atienden hoy"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]",[],"[{""text"": ""atienden"", ""lemma"": ""atender"", ""source"": ""spacy""}, {""text"": ""hoy"", ""lemma"": ""hoy"", ""source"": ""spacy""}]",False,
caso_016,¿Hasta dónde llega el domicilio?,consultar_domicilio,¿hasta dónde llega el domicilio?,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""LOCATION_QUERY"", ""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_ubicacion"", ""weight"": 0.5, ""text"": ""dónde"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""domicilio"", ""matched_text"": ""domicilio"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.2, ""token_index"": 5, ""source"": ""catalog_fallback""}]","[{""text"": ""hasta"", ""lemma"": ""hasta"", ""source"": ""spacy""}, {""text"": ""dónde"", ""lemma"": ""dónde"", ""source"": ""spacy""}, {""text"": ""llega"", ""lemma"": ""llegar"", ""source"": ""spacy""}, {""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""domicilio"", ""lemma"": ""domicilio"", ""source"": ""catalog_fallback""}]",True,
caso_017,¿Se puede pagar cuando llegue?,consultar_medio_pago,¿se puede pagar cuando llegue?,[],"[{""lemma"": ""pagar"", ""matched_text"": ""pagar"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.2, ""token_index"": 3, ""source"": ""catalog_fallback""}]","[{""text"": ""se"", ""lemma"": ""él"", ""source"": ""spacy""}, {""text"": ""puede"", ""lemma"": ""poder"", ""source"": ""spacy""}, {""text"": ""pagar"", ""lemma"": ""pagar"", ""source"": ""catalog_fallback""}, {""text"": ""cuando"", ""lemma"": ""cuando"", ""source"": ""spacy""}, {""text"": ""llegue"", ""lemma"": ""llegar"", ""source"": ""spacy""}]",True,
caso_018,¿Qué plato llena más?,solicitar_recomendacion,¿qué plato llena más?,[],[],"[{""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""plato"", ""lemma"": ""plato"", ""source"": ""spacy""}, {""text"": ""llena"", ""lemma"": ""lleno"", ""source"": ""spacy""}, {""text"": ""más"", ""lemma"": ""más"", ""source"": ""spacy""}]",False,
caso_019,¿Tienen ceviche pequeño?,consultar_producto,¿tienen ceviche pequeño?,"[{""rule_id"": ""AVAILABILITY_PRODUCT"", ""intent"": ""catalogo"", ""subintent"": ""consultar_disponibilidad_producto"", ""weight"": 0.52, ""text"": ""tienen ceviche"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""tener"", ""matched_text"": ""tienen"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 1, ""source"": ""catalog_fallback""}]","[{""text"": ""tienen"", ""lemma"": ""tener"", ""source"": ""catalog_fallback""}, {""text"": ""ceviche"", ""lemma"": ""ceviche"", ""source"": ""spacy""}, {""text"": ""pequeño"", ""lemma"": ""pequeño"", ""source"": ""spacy""}]",True,
caso_020,"Gracias, era eso",agradecer,"gracias, era eso","[{""rule_id"": ""THANKS"", ""intent"": ""social"", ""subintent"": ""agradecer"", ""weight"": 0.7, ""text"": ""gracias"", ""start_token"": 0, ""end_token"": 1, ""requires_context"": false}]","[{""lemma"": ""agradecer"", ""matched_text"": ""gracias"", ""intent"": ""social"", ""subintent"": ""agradecer"", ""weight"": 0.3, ""token_index"": 0, ""source"": ""catalog_fallback""}]","[{""text"": ""gracias"", ""lemma"": ""agradecer"", ""source"": ""catalog_fallback""}, {""text"": ""era"", ""lemma"": ""ser"", ""source"": ""spacy""}, {""text"": ""eso"", ""lemma"": ""ese"", ""source"": ""spacy""}]",True,
caso_021,¿Qué menú ejecutivo tienen hoy?,consultar_categoria,¿qué menú ejecutivo tienen hoy?,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""tener"", ""matched_text"": ""tienen"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 4, ""source"": ""catalog_fallback""}]","[{""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""menú"", ""lemma"": ""menú"", ""source"": ""spacy""}, {""text"": ""ejecutivo"", ""lemma"": ""ejecutivo"", ""source"": ""spacy""}, {""text"": ""tienen"", ""lemma"": ""tener"", ""source"": ""catalog_fallback""}, {""text"": ""hoy"", ""lemma"": ""hoy"", ""source"": ""spacy""}]",False,
caso_022,Necesito pedir para tres personas.,iniciar_pedido_grupal,necesito pedir para tres personas.,"[{""rule_id"": ""QUANTITY_ONLY"", ""intent"": ""pedido"", ""subintent"": ""indicar_cantidad"", ""weight"": 0.38, ""text"": ""tres"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": true}]","[{""lemma"": ""pedir"", ""matched_text"": ""pedir"", ""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""weight"": 0.24, ""token_index"": 1, ""source"": ""catalog_fallback""}]","[{""text"": ""necesito"", ""lemma"": ""necesitar"", ""source"": ""spacy""}, {""text"": ""pedir"", ""lemma"": ""pedir"", ""source"": ""catalog_fallback""}, {""text"": ""para"", ""lemma"": ""para"", ""source"": ""spacy""}, {""text"": ""tres"", ""lemma"": ""tres"", ""source"": ""spacy""}, {""text"": ""personas"", ""lemma"": ""persona"", ""source"": ""spacy""}]",False,
caso_023,¿Cuánto demora el domicilio a Ciudad Montes?,consultar_domicilio,¿cuál es el tiempo de entrega el domicilio a ciudad montes?,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""entrega"", ""start_token"": 6, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 8, ""end_token"": 9, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""entrega"", ""start_token"": 6, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 8, ""end_token"": 9, ""requires_context"": false}]","[{""lemma"": ""domicilio"", ""matched_text"": ""entrega"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.2, ""token_index"": 6, ""source"": ""catalog_fallback""}, {""lemma"": ""domicilio"", ""matched_text"": ""domicilio"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.2, ""token_index"": 8, ""source"": ""catalog_fallback""}]","[{""text"": ""cuál"", ""lemma"": ""cuál"", ""source"": ""spacy""}, {""text"": ""es"", ""lemma"": ""ser"", ""source"": ""spacy""}, {""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""tiempo"", ""lemma"": ""tiempo"", ""source"": ""spacy""}, {""text"": ""de"", ""lemma"": ""de"", ""source"": ""spacy""}, {""text"": ""entrega"", ""lemma"": ""domicilio"", ""source"": ""catalog_fallback""}, {""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""domicilio"", ""lemma"": ""domicilio"", ""source"": ""catalog_fallback""}, {""text"": ""ciudad"", ""lemma"": ""ciudad"", ""source"": ""spacy""}, {""text"": ""montes"", ""lemma"": ""mont"", ""source"": ""spacy""}]",True,
caso_024,¿Me envían factura?,consultar_facturacion,¿me envían factura?,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""factura"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""factura"", ""start_token"": 3, ""end_token"": 4, ""requires_context"": false}]","[{""lemma"": ""facturar"", ""matched_text"": ""factura"", ""intent"": ""operacion"", ""subintent"": ""consultar_facturacion"", ""weight"": 0.24, ""token_index"": 3, ""source"": ""catalog_fallback""}]","[{""text"": ""me"", ""lemma"": ""yo"", ""source"": ""spacy""}, {""text"": ""envían"", ""lemma"": ""envir"", ""source"": ""spacy""}, {""text"": ""factura"", ""lemma"": ""facturar"", ""source"": ""catalog_fallback""}]",True,
caso_025,¿Puedo pagar con tarjeta?,consultar_medio_pago,¿puedo pagar con tarjeta?,[],"[{""lemma"": ""pagar"", ""matched_text"": ""pagar"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.2, ""token_index"": 2, ""source"": ""catalog_fallback""}]","[{""text"": ""puedo"", ""lemma"": ""poder"", ""source"": ""spacy""}, {""text"": ""pagar"", ""lemma"": ""pagar"", ""source"": ""catalog_fallback""}, {""text"": ""con"", ""lemma"": ""con"", ""source"": ""spacy""}, {""text"": ""tarjeta"", ""lemma"": ""tarjeta"", ""source"": ""spacy""}]",True,
caso_026,Envíame la carta en PDF.,solicitar_menu,envíame la menú en pdf.,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""enviar"", ""matched_text"": ""envíame"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.16, ""token_index"": 0, ""source"": ""catalog_fallback""}]","[{""text"": ""envíame"", ""lemma"": ""enviar"", ""source"": ""catalog_fallback""}, {""text"": ""la"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""menú"", ""lemma"": ""menú"", ""source"": ""spacy""}, {""text"": ""en"", ""lemma"": ""en"", ""source"": ""spacy""}, {""text"": ""pdf"", ""lemma"": ""pdf"", ""source"": ""spacy""}]",True,
caso_028,"Sí, reenvíala.",reenviar_menu,"sí, reenvíala.",[],"[{""lemma"": ""reenviar"", ""matched_text"": ""reenvíala"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.28, ""token_index"": 2, ""source"": ""catalog_fallback""}]","[{""text"": ""sí"", ""lemma"": ""sí"", ""source"": ""spacy""}, {""text"": ""reenvíala"", ""lemma"": ""reenviar"", ""source"": ""catalog_fallback""}]",True,
caso_029,¿Qué trae la cazuela mixta?,consultar_detalle_producto,¿qué trae la cazuela mixta?,"[{""rule_id"": ""PRODUCT_DETAIL_WHAT_HAS"", ""intent"": ""catalogo"", ""subintent"": ""consultar_detalle_producto"", ""weight"": 0.5, ""text"": ""qué trae"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}]",[],"[{""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""trae"", ""lemma"": ""traer"", ""source"": ""spacy""}, {""text"": ""la"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""cazuela"", ""lemma"": ""cazuela"", ""source"": ""spacy""}, {""text"": ""mixta"", ""lemma"": ""mixto"", ""source"": ""spacy""}]",False,
